Car_Image,Name_and_model,Model_type,In_Game_Price,car_source,stock_specs,Stock_Rating,Drive_Type,speed,handling,acceleration,launch,braking,Offroad,Top_Speed,0-60_Mph,0-100_Mph,g-force,car_source_1,car_source_2,Horse_Power,Weight_lbs,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_001.jpg?v=1,2001 Acura Integra Type R,RETRO HOT HATCH,"25,000",Autoshow,C,596,FWD,5.6,5.1,3.9,3.1,3.4,5.1,155.5 Mph,6.2s,14.7s,0.90 g,info_not_found,info_not_found,195,"2,639",United States of America,1.8L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,195 bhp (145 kW), 130 lb⋅ft (176 N·m),Common
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_002.jpg?v=1,2002 Acura RSX Type S,RETRO HOT HATCH,"25,000",Autoshow,C,585,FWD,5.6,5.1,3.9,3,3.5,5.3,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,200,"2,820",United States of America,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 61%/39%,200 bhp (149 kW), 142 lb⋅ft (193 N·m),Common
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_003.jpg?v=1,2017 Acura NSX,MODERN SUPERCARS,"170,000",Autoshow,S1,831,AWD,7,7,9.2,10,7.1,4.7,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,573,"3,803",United States of America,3.5L Twin-Turbocharged Hybrid V6Dual front electric motors & rear electric motor,Mid-Engined,9-speed Transmission, 42%/58%,573 bhp (427 kW), 623 lb⋅ft (845 N·m),Rare
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_004.jpg?v=1,1973 Alpine A110 1600s,CLASSIC RALLY,"98,000",Autoshow,C,550,RWD,5,4.4,4.1,3.1,3,5.3,138.0 Mph,7.0s,20.6s,0.84 g,info_not_found,info_not_found,123,"1,576",France,1.6L Naturally-Aspirated I4,Rear-Engined,5-speed Transmission, 40%/60%,123 bhp (92 kW), 106 lb⋅ft (144 N·m),Rare
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_005.jpg?v=1,2017 Alpine A110,MODERN SPORTS CARS,"67,500",Wheelspin,B,694,RWD,6,6.4,5.4,5.7,4.2,4.2,info_not_found,info_not_found,info_not_found,info_not_found,Season Event,Festival Playlist,248,"2,432",France,1.8L Turbocharged I4,Mid-Engined,7-speed Transmission, 44%/56%,248 bhp (185 kW), 236 lb⋅ft (320 N·m),Epic
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_006.jpg?v=1,2015 Alumi Craft Class 10 Race Car,UNLIMITED BUGGIES,"300,000",Autoshow,B,642,RWD,4.4,3.8,5,4.1,4.8,10,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,196,"2,200",United States of America,2.4L Naturally-Aspirated I4,Rear-Engined,6-speed Transmission, 45%/55%,196 bhp (146 kW), 190 lb⋅ft (258 N·m),Epic
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_007.jpg?v=1,1973 AMC Gremlin X,CULT CARS,"35,000",Autoshow,D,403,RWD,4,3.9,3.4,3.4,2.3,5.2,112.0 Mph,9.6s,25.1s,0.78 g,Wheelspin,info_not_found,150,"2,840",United States of America,5.0L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 54%/46%,150 bhp (112 kW), 245 lb⋅ft (332 N·m),Common
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_008.jpg?v=1,2554 AMG TRANSPORT DYNAMICS M12S Warthog CST,UNLIMITED OFFROAD,"850,000",Autoshow,A,719,AWD,4.2,4.1,8.6,10,6.7,10,116.9 Mph,3.5s,9.2s,0.96 g,Wheelspin,info_not_found,720,"5,071",United States of America,8.0L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 54%/46%,720 bhp (537 kW), 855 lb⋅ft (1160 N·m),Legendary
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_009.jpg?v=1,2018 Apollo Intensa Emozione,EXTREME TRACK TOYS,"1,500,000",Autoshow,S2,963,RWD,7.4,10,7.7,8.4,10,3.9,204.5 Mph,2.6s,5.0s,1.73 g,Wheelspin,Forza Shop,780,"2,756",Germany,6.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 45%/55%,780 bhp (582 kW), 560 lb⋅ft (759 N·m),Legendary
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_010.jpg?v=1,"2018 Apollo Intensa Emozione ""Welcome Pack""",EXTREME TRACK TOYS,"1,500,000",Autoshow,S2,998,RWD,7.6,10,7.9,8.6,10,3.8,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,930,"2,480",Germany,6.3L Naturally-Aspirated V13,Mid-Engined,6-speed Transmission, 45%/55%,781 bhp (582 kW), 561 lb⋅ft (759 N·m),Common
