,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
0,2017 Abarth 124 Spider,Italy,1.4L Turbocharged I4,Front-Engined,6-speed Transmission, 54%/46%,165 bhp (123 kW), 184 lb⋅ft (249 N·m),Common
1,1968 Abarth 595 esseesse,Italy,0.6L Naturally-Aspirated I2,Rear-Engined,4-speed Transmission, 42%/58%,28 bhp (21 kW), 34 lb⋅ft (46 N·m),Common
2,2016 Abarth 695 Biposto,Italy,1.4L Turbocharged I4,Front-Engined,5-speed Transmission, 64%/36%,186 bhp (139 kW), 183 lb⋅ft (248 N·m),Common
3,1980 Abarth Fiat 131,Italy,2.0L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 54%/46%,140 bhp (104 kW), 130 lb⋅ft (176 N·m),Common
4,2001 Acura Integra Type-R,United States of America,1.8L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,195 bhp (145 kW), 130 lb⋅ft (176 N·m),Common
5,2017 Acura NSX,United States of America,3.5L Twin-Turbocharged Hybrid V6Dual front electric motors & rear electric motor,Mid-Engined,9-speed Transmission, 42%/58%,573 bhp (427 kW), 623 lb⋅ft (845 N·m),Rare
6,2002 Acura RSX Type-S,United States of America,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 61%/39%,200 bhp (149 kW), 142 lb⋅ft (193 N·m),Common
7,1992 Alfa Romeo 155 Q4,Italy,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 61%/39%,187 bhp (139 kW), 219 lb⋅ft (297 N·m),Common
8,1968 Alfa Romeo 33 Stradale,Italy,2.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 40%/60%,245 bhp (183 kW), 148 lb⋅ft (201 N·m),Legendary
9,2014 Alfa Romeo 4C,Italy,1.7L Turbocharged I4,Mid-Engined,6-speed Transmission, 41%/59%,240 bhp (179 kW), 238 lb⋅ft (323 N·m),Rare
10,2007 Alfa Romeo 8C Competizione,Italy,4.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 49%/51%,450 bhp (336 kW), 354 lb⋅ft (480 N·m),Epic
11,2017 Alfa Romeo Giulia Quadrifoglio,Italy,2.9L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 50%/50%,506 bhp (377 kW), 443 lb⋅ft (600 N·m),Rare
12,1965 Alfa Romeo Giulia Sprint GTA Stradale,Italy,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 54%/46%,115 bhp (86 kW), 105 lb⋅ft (142 N·m),Rare
13,1965 Alfa Romeo Giulia TZ2,Italy,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 54%/46%,170 bhp (127 kW), 130 lb⋅ft (176 N·m),Legendary
14,2017 Alpine A110,France,1.8L Turbocharged I4,Mid-Engined,7-speed Transmission, 44%/56%,248 bhp (185 kW), 236 lb⋅ft (320 N·m),Epic
15,1973 Alpine A110 1600s,France,1.6L Naturally-Aspirated I4,Rear-Engined,5-speed Transmission, 40%/60%,123 bhp (92 kW), 106 lb⋅ft (144 N·m),Rare
16,2015 Alumi Craft Class 10 Race Car,United States of America,2.4L Naturally-Aspirated I4,Rear-Engined,6-speed Transmission, 45%/55%,196 bhp (146 kW), 190 lb⋅ft (258 N·m),Epic
17,1973 AMC Gremlin X,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 54%/46%,150 bhp (112 kW), 245 lb⋅ft (332 N·m),Common
18,1971 AMC Javelin AMX,United States of America,6.6L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 53%/47%,330 bhp (246 kW), 430 lb⋅ft (583 N·m),Rare
19,1970 AMC Rebel %22The Machine%22,United States of America,6.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,340 bhp (254 kW), 427 lb⋅ft (579 N·m),Rare
20,2554 AMG TRANSPORT DYNAMICS M12S Warthog CST,United States of America,8.0L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 54%/46%,720 bhp (537 kW), 855 lb⋅ft (1160 N·m),Legendary
21,2018 Apollo Intensa Emozione,Germany,6.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 45%/55%,780 bhp (582 kW), 560 lb⋅ft (759 N·m),Legendary
22,2018 Apollo Intensa Emozione,Germany,6.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 45%/55%,780 bhp (582 kW), 560 lb⋅ft (759 N·m),Legendary
23,2013 Ariel Atom 500 V8,United Kingdom,3.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 36%/64%,475 bhp (354 kW), 268 lb⋅ft (363 N·m),Epic
24,2016 Ariel Nomad,United Kingdom,2.4L Naturally-Aspirated I4,Rear-Engined,6-speed Transmission, 38%/62%,236 bhp (176 kW), 221 lb⋅ft (300 N·m),Rare
25,2012 Ascari KZ1R,United Kingdom,5.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 46%/54%,521 bhp (389 kW), 398 lb⋅ft (540 N·m),Epic
26,1964 Aston Martin DB5,United Kingdom,4.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 51%/49%,325 bhp (242 kW), 288 lb⋅ft (390 N·m),Epic
27,2017 Aston Martin DB11,United Kingdom,5.2L Twin-Turbocharged V12,Front-Engined,8-speed Transmission, 51%/49%,608 bhp (453 kW), 516 lb⋅ft (700 N·m),Epic
28,2019 Aston Martin DBS Superleggera,United Kingdom,5.2L Twin-Turbocharged V12,Front-Engined,8-speed Transmission, 51%/49%,715 bhp (533 kW), 663 lb⋅ft (899 N·m),Epic
29,2021 Aston Martin DBX,United Kingdom,4.0L Twin-Turbocharged V8,Front-Engined,9-speed Transmission, 54%/46%,543 bhp (405 kW), 516 lb⋅ft (700 N·m),Rare
30,2010 Aston Martin One-77,United Kingdom,7.3L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 49%/51%,750 bhp (559 kW), 553 lb⋅ft (750 N·m),Legendary
31,2013 Aston Martin V12 Vantage S,United Kingdom,5.9L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 52%/48%,565 bhp (421 kW), 457 lb⋅ft (620 N·m),Epic
32,2019 Aston Martin Valhalla Concept Car,United Kingdom,3.0L Twin-Turbocharged V6,Mid-Engined,8-speed Transmission, 41%/59%,1042 bhp (777 kW), 995 lb⋅ft (1349 N·m),Legendary
33,2019 Aston Martin Vantage,United Kingdom,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 50%/50%,503 bhp (375 kW), 505 lb⋅ft (685 N·m),Epic
34,2016 Aston Martin Vantage GT12,United Kingdom,5.9L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 51%/49%,593 bhp (442 kW), 461 lb⋅ft (625 N·m),Epic
35,2017 Aston Martin Vulcan AMR Pro,United Kingdom,7.0L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 54%/46%,820 bhp (611 kW), 590 lb⋅ft (800 N·m),Legendary
36,2018 ATS GT,Italy,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,720 bhp (537 kW), 575 lb⋅ft (780 N·m),Epic
37,1986 Audi 2 Audi Sport quattro S1,Germany,2.1L Turbocharged I5,Front-Engined,6-speed Transmission, 52%/48%,469 bhp (350 kW), 354 lb⋅ft (480 N·m),Legendary
38,2013 Audi R8 Coup%C3%A9 V10 plus 5.2 FSI quattro,Germany,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 44%/56%,542 bhp (404 kW), 398 lb⋅ft (540 N·m),Epic
39,2016 Audi R8 V10 plus,Germany,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 44%/56%,602 bhp (449 kW), 413 lb⋅ft (560 N·m),Epic
40,1995 Audi RS 2 Avant,Germany,2.2L Turbocharged I5,Front-Engined,6-speed Transmission, 58%/42%,311 bhp (232 kW), 302 lb⋅ft (409 N·m),Common
41,2020 Audi RS 3 Sedan,Germany,2.5L Turbocharged I5,Front-Engined,7-speed Transmission, 58%/42%,394 bhp (294 kW), 354 lb⋅ft (480 N·m),Rare
42,2011 Audi RS 3 Sportback,Germany,2.5L Turbocharged I5,Front-Engined,7-speed Transmission, 60%/40%,335 bhp (250 kW), 332 lb⋅ft (450 N·m),Common
43,2006 Audi RS 4,Germany,4.2L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 58%/42%,420 bhp (313 kW), 317 lb⋅ft (430 N·m),Rare
44,2001 Audi RS 4 Avant (2001),Germany,2.7L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 55%/45%,375 bhp (280 kW), 324 lb⋅ft (439 N·m),Common
45,2013 Audi RS 4 Avant (2013),Germany,4.2L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 53%/47%,444 bhp (331 kW), 331 lb⋅ft (449 N·m),Rare
46,2018 Audi RS 4 Avant (2018),Germany,2.9L Twin-Turbocharged v6,Front-Engined,8-speed Transmission, 57%/43%,444 bhp (331 kW), 442 lb⋅ft (599 N·m),Rare
47,2011 Audi RS 5 Coup%C3%A9,Germany,4.2L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 57%/43%,442 bhp (330 kW), 317 lb⋅ft (430 N·m),Rare
48,2018 Audi RS 5 Coup%C3%A9 (2018),Germany,2.9L Twin-Turbocharged v6,Front-Engined,8-speed Transmission, 57%/43%,444 bhp (331 kW), 443 lb⋅ft (601 N·m),Rare
49,2003 Audi RS 6 (2003),Germany,4.2L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 59%/41%,450 bhp (336 kW), 415 lb⋅ft (563 N·m),Rare
50,2009 Audi RS 6 (2009),Germany,5.0L Twin-Turbocharged V10,Front-Engined,6-speed Transmission, 59%/41%,570 bhp (425 kW), 478 lb⋅ft (648 N·m),Epic
51,2015 Audi RS 6 Avant,Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 53%/47%,552 bhp (412 kW), 516 lb⋅ft (700 N·m),Rare
52,2021 Audi RS 6 Avant (2021),Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 55%/45%,591 bhp (441 kW), 590 lb⋅ft (800 N·m),Rare
53,2013 Audi RS 7 Sportback,Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 60%/40%,552 bhp (412 kW), 553 lb⋅ft (750 N·m),Epic
